DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
15.01.2018;21.01.2018;NEG_NT;30,24;1074;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_NT;31,44;373,5;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;31,69;748,33;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_NT;32,65;385;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;32,91;180;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;33,86;625;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;34;142,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;34;242,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;34;342,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;34;442,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;35,07;950;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;36,28;1875;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;36,57;748,33;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;37,49;2500;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;38,7;9500;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;41;529;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;41;529;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;41;827;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;41;827;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;42;20;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;42,2;542,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;42,2;642,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;42,2;742,1;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_NT;42,2;23,1;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_NT;42,2;92,1;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;43,11;20;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;44,22;20;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;44,5;235;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;44,5;235;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;45,2;478;Netz an Anbieter;22;22;;
15.01.2018;21.01.2018;NEG_NT;45,33;100;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;46;5380;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_NT;46,2;697;Netz an Anbieter;18;18;;
15.01.2018;21.01.2018;NEG_NT;46,44;100;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;47,56;40;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;48,67;40;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;49;900;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_NT;49;900;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;49;900;Netz an Anbieter;17;17;;
15.01.2018;21.01.2018;NEG_NT;49;900;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_NT;49,78;40;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;50;18;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_NT;50,89;40;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;51,5;896;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;POS_NT;51,84;5100;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;POS_NT;51,84;61,38;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_NT;52;39;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;52;40;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_NT;52,77;9999;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_NT;54;71;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_NT;54;5502;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_NT;54;5600;Netz an Anbieter;5;5;X;
15.01.2018;21.01.2018;NEG_NT;54,3;40;Netz an Anbieter;20;20;;
